ID Number,Title,Preferred Language,Gender,Relationship Types,Faculty of Graduation,Year of Graduation,Province,Lifetime Giving,Year of Last Gift,Year of First Gift,Largest Gift,Events Attended in Lifetime,Past Traveler Y/N,# of Instances of Volunteering,# of Clicks in the Past Month
106256,,E,F,Graduate,Arts -- General,1984,AB,200,2011,1992,74,10,N,0,14
106257,,E,F,Graduate,Law,2010,BC,205,2011,2010,121,12,Y,0,3
106258,,E,M,Graduate,Arts -- General,1966,QC,261,1979,1976,73,7,N,3,12
106259,,E,M,"Graduate, Past Parent",Engineer -- General,2007,ON,0,,,,6,N,0,5
106260,,F,F,"Graduate, Former Faculty/Staff",Arts -- General,2013,QC,0,,,,1,Y,1,16
106261,,E,F,Graduate,Engineer -- General,2012,NB,0,,,,11,N,1,20
106262,,E,F,Graduate,Arts -- General,2012,QC,0,,,,14,N,2,12
106263,,E,M,Graduate,Science -- General,2001,ON,0,,,,15,N,0,14
106264,,E,M,"Graduate, Past Parent",Agr&Env -- General,2008,BC,0,,,,15,N,3,8
106265,,E,F,Graduate,Management,2006,BC,0,,,,14,N,3,20
106266,,E,M,Graduate,Education -- General,1994,ON,0,,,,5,N,0,9
106267,,E,M,Graduate,Education -- General,1990,ON,0,,,,15,N,1,16
106268,,E,M,Graduate,Medicine -- General,2000,ON,0,,,,8,N,2,2
106269,,E,M,"Graduate, Past Parent",Education -- General,2012,BC,0,,,,12,N,2,13
106270,President,E,F,Graduate,Engineer -- General,1990,QC,0,,,,4,N,0,11
106271,, ,M,Graduate,Arts -- General,1997,AB,0,,,,7,N,0,5
106272,,E,M,Graduate,Arts -- General,1985,NB,300,1990,1985,117,3,N,3,19
106273,,E,F,Graduate,Management,1991,QC,125,2012,2008,88,1,N,0,23
106274,CEO,E,M,Graduate,Science -- General,1997,BC,0,,,,1,N,1,13
106275,,E,F,Graduate,Arts -- General,1993,ON,50,2014,2003,45,14,N,1,9
106276,,E,F,Graduate,Arts -- General,1979,QC,0,,,,0,N,2,12
106277,, ,M,Graduate,Science -- General,2014,NB,0,,,,11,N,0,20
106278,, ,M,Graduate,Arts -- General,2008,BC,0,,,,3,N,3,23
106279,,E,F,Graduate,Science -- General,2014,ON,20,2015,2014,7,11,N,3,12
106280,, ,M,Graduate,Agr&Env -- General,1941,ON,60000,1941,1940,51600,3,N,0,22
106281,,E,F,Graduate,Arts -- General,1965,NB,65,1974,1970,38,7,N,1,14
106282,,E,M,Graduate,Science -- General,1978,QC,1075,2005,1987,935,2,Y,2,23
106283,, ,F,Graduate,Engineer -- General,2003,ON,55,2008,2007,53,11,N,2,3
106284,, ,M,Graduate,Education -- General,2015,QC,0,,,,13,Y,0,21
106285,,E,F,Graduate,Management,1979,NB,130,1984,1981,30,4,N,0,8
106286,,F,F,Graduate,Arts -- General,2000,QC,350,2010,1999,340,4,N,3,1
106287,,E,F,Graduate,Science -- General,1994,QC,0,,,,7,N,0,22
106288,,E,F,Graduate,Dentistry,2013,ON,0,,,,9,N,1,0
106289,,E,F,Graduate,Management,2004,ON,0,,,,15,N,1,5
106290,,E,F,Graduate,Education -- General,2004,BC,0,,,,14,N,2,2
106291,,E,F,Graduate,Science -- General,2011,BC,0,,,,5,N,0,17
106292,,E,M,Graduate,Engineer -- General,1998,ON,30,2014,2002,25,7,N,3,0
106293,,E,F,Graduate,Education -- General,1996,ON,0,,,,8,N,3,11
106294,,E,F,Graduate,Management,2001,MB,0,,,,15,N,0,8
106295,,E,F,Graduate,Science -- General,2013,BC,0,,,,10,N,1,22
106296,,E,M,Graduate,Science -- General,1998,ON,0,,,,5,N,2,3
106297,,F,F,Graduate,Science -- General,1976,QC,325,1982,1976,172,5,N,2,22
106298,President, ,M,Graduate,Arts -- General,2000,AB,50,2011,2008,25,14,N,0,20
106299,President, ,F,Graduate,Management,2009,ON,0,,,,12,N,0,15
106300,,E,M,Graduate,Medicine -- Nursing,1971,SK,30,1977,1973,10,3,N,3,0
106301,,F,M,Graduate,Arts -- General,2005,ON,0,,,,1,N,0,11
106302,,F,F,Graduate,Medicine -- General,2009,ON,0,,,,6,N,1,15
106303,,F,F,Graduate,Science -- General,2015,QC,0,,,,8,N,1,16
106304,,F,F,Graduate,Arts -- General,1971,NS,800,1972,1971,368,1,N,2,11
106305,,E,M,Graduate,Arts -- General,2005,NB,0,,,,14,Y,0,6
106306,,E,F,Graduate,Arts -- General,1981,ON,0,,,,7,N,3,20
106307,,E,M,Graduate,Arts -- General,1993,ON,1050,2013,2012,315,10,N,3,13
106308,,E,F,Graduate,Medicine -- POT,1960,ON,10,1962,1959,5,0,N,0,11
106309,,F,M,Graduate,Management,1990,BC,505,1998,1995,162,6,N,1,9
106310,,E,F,Graduate,Science -- General,2010,NB,0,,,,9,N,2,11
106311,,F,M,Graduate,Arts -- General,2006,QC,20,2003,2003,14,10,N,2,20
106312,,E,M,Graduate,Arts -- General,1992,QC,0,,,,11,N,0,17
106313,,E,F,Graduate,Science -- General,1999,ON,0,,,,14,N,0,5
106314,,F,M,Graduate,Arts -- General,1989,ON,200,1994,1991,94,9,N,3,21
106315,,E,M,Graduate,Medicine -- Nursing,1968,ON,4795,1993,1974,527,10,N,0,0
106316,,E,F,Graduate,Engineer -- General,1954,BC,2705,1972,1972,1163,8,N,1,20
106317,,E,F,Graduate,Medicine -- General,1980,QC,2630,1994,1981,2472,2,Y,1,15
106318,,E,F,Graduate,Engineer -- General,2002,ON,40,2005,2004,40,0,N,2,0
106319,, ,M,Graduate,Arts -- Social Work,2001,QC,0,,,,1,N,0,20
106320,, ,F,Graduate,Law,2002,AB,0,,,,15,N,3,13
106321,,E,M,Graduate,Management,1998,AB,0,,,,13,N,3,23
106322,,E,F,Graduate,Arts -- General,2004,ON,0,,,,12,Y,0,21
106323,, ,F,Graduate,Engineer -- Architect,2001,ON,0,,,,3,N,1,18
106324,,E,M,Graduate,Science -- General,1999,BC,0,,,,10,N,2,21
106325,,E,F,Graduate,Arts -- Information (Library) Studies,1974,AB,25,1974,1973,14,14,N,2,8
106326,,F,F,Graduate,Education -- General,1995,QC,0,,,,6,N,0,13
106327,,E,M,Graduate,Arts -- General,2001,ON,0,,,,14,N,0,17
106328,,E,F,Graduate,Religious Studies,2012,AB,0,,,,0,N,3,14
106329,,E,F,"Graduate, Past Parent",Arts -- General,2001,ON,0,,,,13,N,0,20
106330,,E,F,Graduate,Arts -- General,2014,BC,0,,,,2,N,1,21
106331,,F,F,Graduate,Engineer -- Architect,2005,ON,0,,,,4,Y,1,11
106332,,E,F,"Graduate, Past Parent",Arts -- General,2005,BC,20,2012,2011,17,10,N,2,10
106333,,E,F,"Graduate, Past Parent",Management,1997,BC,0,,,,12,N,0,9
106334,, ,F,Graduate,Medicine -- Com Sci,1995,ON,0,,,,8,N,3,22
106335,,E,F,Graduate,Music,2014,QC,20,2014,2014,20,10,N,3,17
106336,,E,F,Graduate,Arts -- General,1981,ON,0,,,,2,N,0,14
106337,,E,M,Graduate,Medicine -- POT,1990,QC,755,2014,2002,310,14,N,1,13
106338,, ,M,Graduate,Management,1983,BC,0,,,,13,Y,2,4
106339,,E,F,Graduate,Arts -- General,2010,AB,0,,,,5,N,2,7
106340,,E,F,Graduate,Music,2008,AB,0,,,,12,N,0,4
106341,,E,M,Graduate,Management,1988,QC,0,,,,3,N,0,1
106342,,E,F,Graduate,Arts -- General,1994,QC,0,,,,0,N,3,12
106343,,E,F,Graduate,Arts -- General,2006,BC,0,,,,11,N,0,18
106344,,E,F,Graduate,Science -- General,2010,BC,0,,,,7,Y,1,23
106345,,E,M,Graduate,Arts -- General,2006,ON,0,,,,10,N,1,13
106346,,E,F,Graduate,Management,1998,AB,0,,,,11,N,2,18
106347,,E,F,Graduate,Management,1951,QC,245,1968,1950,230,15,N,0,23
106348,,E,M,Graduate,Arts -- General,2002,ON,0,,,,4,N,3,22
106349,, ,F,Graduate,Science -- Computer,2008,BC,40,2009,2008,3,6,N,3,15
106350,,E,M,Graduate,Management,1968,ON,2465,1984,1969,715,10,N,0,12
106351,, ,F,Graduate,Medicine -- Nursing,1971,ON,325,1978,1975,189,12,N,1,23
106352,, ,F,Graduate,Arts -- General,2007,BC,0,,,,9,N,2,8
106353,, ,F,Graduate,Arts -- General,1999,BC,0,,,,4,N,2,17
106354,, ,F,Graduate,Music,2013,MB,0,,,,11,N,0,9
106355,, ,M,Graduate,Science -- General,1968,AB,920,1987,1977,488,10,N,0,19
106356,, ,M,Graduate,Science -- General,1994,BC,0,,,,0,N,3,21
106357,, ,M,Graduate,Agr&Env -- General,1973,ON,0,,,,11,N,0,14
106358,,E,F,Graduate,Arts -- General,1988,QC,100,1988,1988,80,1,Y,1,23
106359,,F,F,Graduate,Medicine -- POT,1999,ON,0,,,,0,N,1,15
106360,,E,F,Graduate,Engineer -- General,1996,QC,0,,,,12,N,2,13
106361,,F,M,Graduate,Science -- General,2006,QC,0,,,,10,N,0,19
106362,,F,F,Graduate,Arts -- General,1986,QC,0,,,,11,N,3,14
106363,,E,M,Graduate,Science -- General,2003,BC,0,,,,6,N,3,10
106364,, ,F,Graduate,Management,1977,AB,340,2004,1983,71,3,Y,0,15
106365,, ,F,Graduate,Arts -- Social Work,2010,ON,0,,,,9,N,1,10
106366,, ,M,Graduate,Science -- General,2005,ON,25,2003,2003,8,5,N,2,22
106367,, ,M,Graduate,Engineer -- General,1975,QC,0,,,,8,N,2,6
106368,,E,F,Graduate,Education -- General,2001,QC,100,2006,2003,7,6,N,0,16
106369,,E,M,Graduate,Science -- General,1997,ON,0,,,,7,N,0,16
106370,,E,F,Graduate,Arts -- General,1987,ON,0,,,,7,N,3,0
106371,,E,F,Graduate,Law,1985,ON,0,,,,6,N,0,2
106372,,E,F,Graduate,Engineer -- General,2010,NL,75,2007,2007,54,13,N,1,14
106373,, ,F,Graduate,Arts -- General,2008,BC,0,,,,12,N,1,5
106374,,E,F,Graduate,Science -- General,1979,ON,350,1976,1976,98,8,N,2,0
106375,,E,M,Graduate,Agr&Env -- Dietetics,1969,ON,490,1986,1975,328,4,N,0,9
106376,, ,F,Graduate,Management,1971,BC,0,,,,9,N,3,16
106377,,E,F,Graduate,Arts -- General,2013,QC,0,,,,4,N,3,23
106378,, ,F,Graduate,Engineer -- General,1955,QC,688,1953,1953,495,5,N,0,23
106379,,E,M,Graduate,Arts -- General,1997,ON,0,,,,3,N,1,2
106380,, ,F,Graduate,Arts -- General,1994,ON,0,,,,13,N,2,4
106381,,E,F,Graduate,Continuing Education,2004,ON,0,,,,6,N,2,19
106382,,E,F,Graduate,Agr&Env -- General,1953,ON,0,,,,4,N,0,1
106383,,F,M,Graduate,Engineer -- General,2008,ON,0,,,,8,N,0,23
106384,, ,M,Graduate,Management,1992,ON,2098,2000,1996,1448,15,N,3,8
106385,"Chairman, CEO",E,F,Graduate,Engineer -- General,2006,NB,30,2012,2009,10,5,N,0,8
106386,,E,F,Graduate,Medicine -- General,1982,ON,550,2000,1991,127,0,Y,1,9
106387,,E,F,Graduate,Music,2012,QC,0,,,,8,N,1,11
106388,,E,F,Graduate,Arts -- General,1976,QC,0,,,,6,N,2,22
106389,,E,F,Graduate,Religious Studies,1989,QC,1075,1992,1990,247,13,N,0,16
106390,, ,F,Graduate,Arts -- General,1980,ON,180,1997,1984,121,10,N,3,9
106391,,E,F,Graduate,Management,1983,QC,0,,,,15,N,3,20
106392,,E,F,Graduate,Music,1989,SK,680,2000,1994,340,3,N,0,18
106393,, ,M,Graduate,Law,2004,ON,0,,,,14,N,1,1
106394,,E,M,Graduate,Management,1989,NB,50,2008,1990,46,1,N,2,5
106395,, ,F,"Graduate, Past Parent",Law,2013,MB,0,,,,3,N,2,18
106396,,E,F,Graduate,Science -- General,2008,NB,0,,,,13,N,0,6
106397,, ,F,Graduate,Medicine -- POT,1972,AB,0,,,,5,N,0,0
106398,,E,M,Graduate,Engineer -- General,1987,ON,0,,,,7,N,3,6
106399,CEO,E,M,Graduate,Arts -- General,1989,QC,96,2011,2006,40,0,N,0,18
106400,,E,M,Graduate,Arts -- General,2011,QC,0,,,,13,N,1,2
106401,,E,M,Graduate,Medicine -- General,2011,AB,60,2015,2014,33,6,N,1,19
106402,,E,F,Graduate,Engineer -- General,1986,ON,0,,,,15,N,2,13
106403,,F,F,Graduate,Science -- General,2013,QC,0,,,,9,N,0,16
106404,,E,F,Graduate,Arts -- General,1950,NB,2235,1978,1972,179,11,N,3,12
106405,,E,M,Graduate,Engineer -- General,2012,AB,0,,,,15,N,3,6
106406,, ,F,Graduate,Arts -- General,2011,AB,0,,,,0,N,0,4
106407,,E,M,Graduate,Medicine -- General,1977,NB,0,,,,13,N,1,5
106408,,E,F,Graduate,Medicine -- POT,1956,AB,0,,,,12,N,2,3
106409,,E,M,Graduate,Science -- General,1994,QC,0,,,,12,N,2,7
106410,, ,F,Graduate,Management,2003,ON,0,,,,4,N,0,13
106411,,E,F,Graduate,Agr&Env -- Dietetics,2010,QC,100,2012,2012,49,13,N,0,22
106412,,E,F,Graduate,Arts -- General,1985,AB,450,1999,1989,77,6,N,3,22
106413,, ,F,Graduate,Arts -- General,1986,SK,0,,,,10,N,0,18
106414,President,E,F,Graduate,Engineer -- General,1953,ON,2860,1975,1972,1459,13,N,1,11
106415,,E,M,Graduate,Arts -- General,1981,AB,0,,,,11,N,1,16
106416,,E,M,"Graduate, Past Student",Management,2014,BC,0,,,,14,N,2,1
106417,,E,F,Graduate,Arts -- General,2007,SK,20,2004,2004,3,1,N,0,3
106418,, ,F,"Graduate, Past Parent",Medicine -- General,1965,AB,150,1963,1963,65,1,N,3,13
106419,, ,M,Graduate,Arts -- General,2014,BC,0,,,,12,N,3,6
106420,,E,F,Graduate,Music,1997,QC,0,,,,0,N,0,21
106421,,E,M,Graduate,Arts -- General,2013,ON,0,,,,8,N,1,8
106422,,F,F,Graduate,Agr&Env -- General,1976,NB,0,,,,4,N,2,8
106423,,F,F,Graduate,Arts -- General,2005,QC,0,,,,6,N,2,3
106424,,F,F,Graduate,Arts -- General,2003,QC,0,,,,11,N,0,15
106425,,F,M,Graduate,Science -- General,2002,AB,0,,,,12,N,0,11
106426,,F,M,Graduate,Engineer -- General,1985,QC,250,2008,1995,85,11,N,3,2
106427,,F,M,Graduate,Science -- General,1966,BC,5,1968,1968,3,8,Y,0,8
106428,, ,M,Graduate,Arts -- General,1989,BC,0,,,,10,N,1,21
106429,President, ,F,Graduate,Arts -- General,2008,ON,0,,,,6,Y,1,1
106430,,F,F,Graduate,Engineer -- General,1997,NS,0,,,,12,N,2,22
106431,,F,F,Graduate,Science -- General,1972,AB,395,1996,1987,201,7,N,0,10
106432,,F,F,Graduate,Arts -- General,1987,ON,0,,,,1,N,3,18
106433,, ,M,Graduate,Education -- General,1988,ON,75,2014,1989,32,0,Y,3,17
106434,,E,M,Graduate,Arts -- General,1982,BC,545,2004,1996,501,10,N,0,4
106435,,F,F,Graduate,Arts -- Social Work,1973,QC,510,1981,1980,148,0,Y,1,5
106436,,E,M,Graduate,Arts -- General,1989,AB,200,2006,1998,40,9,N,2,18
106437,,F,F,Graduate,Arts -- General,2002,AB,0,,,,5,N,2,21
106438,,E,F,"Graduate, Former Faculty/Staff",Arts -- General,2002,ON,0,,,,9,N,0,0
106439,,E,M,Graduate,Arts -- General,1972,BC,145,1998,1981,12,4,N,0,17
106440,, ,F,"Graduate, Former Faculty/Staff",Arts -- General,1973,NB,0,,,,11,N,3,19
106441,, ,F,Graduate,Arts -- General,1992,NB,0,,,,5,N,0,23
106442,, ,F,Graduate,Management,2000,ON,80,2005,2000,71,6,N,1,16
106443,,E,F,Graduate,Engineer -- General,1976,BC,4440,1988,1986,3152,12,N,1,9
106444,,E,M,Graduate,Continuing Education,1990,BC,775,1999,1999,171,3,N,2,21
106445,,E,F,Graduate,Science -- General,2005,QC,0,,,,2,N,0,16
106446,,E,F,Graduate,Science -- General,1944,AB,5025,1947,1944,2161,6,N,3,2
106447,,E,F,Graduate,Education -- General,1991,ON,0,,,,3,N,3,13
106448,,E,M,Graduate,Law,1995,NL,0,,,,10,N,0,1
106449,,E,F,Graduate,Science -- General,1983,ON,170,2009,1986,71,2,N,1,15
106450,,E,M,"Graduate, Former Faculty/Staff",Science -- General,1976,ON,0,,,,10,N,2,9
106451,,E,F,Graduate,Arts -- General,1999,ON,0,,,,10,N,2,8
106452,, ,F,Graduate,Engineer -- General,1956,SK,66,1971,1960,2,5,N,0,13
106453,,E,F,"Graduate, Student",Science -- General,2015,BC,0,,,,12,N,0,19
106454,,E,F,Graduate,Management,2011,ON,0,,,,12,N,3,5
106455,,E,M,Graduate,Management,2014,ON,0,,,,13,N,0,18
106456,,E,F,Graduate,Arts -- General,1974,AB,1520,1986,1982,395,4,N,1,4
106457,,E,M,Graduate,Medicine -- General,2002,QC,170,2010,2008,165,0,N,1,3
106458,,E,F,Graduate,Arts -- General,1993,QC,505,1993,1993,409,4,N,2,14
106459,,E,F,Graduate,Arts -- General,1999,BC,5316,1999,1999,2126,5,N,0,7
106460,,E,M,Graduate,Science -- General,1956,QC,0,,,,15,N,3,21
106461,,E,F,Graduate,Management,2002,QC,150,2004,2002,42,8,Y,3,18
106462,,E,M,Graduate,Arts -- General,1982,QC,0,,,,5,Y,0,23
106463,,E,M,Graduate,Education -- General,1982,QC,0,,,,13,N,1,16
106464,, ,F,Graduate,Arts -- General,2005,ON,0,,,,0,N,2,19
106465,, ,F,Graduate,Arts -- General,2010,BC,0,,,,14,N,2,13
106466,,E,F,Graduate,Science -- General,2010,BC,0,,,,0,N,0,14
106467,,E,M,Graduate,Management,2001,NS,0,,,,0,N,0,9
106468,President,E,M,Graduate,Law,2010,AB,0,,,,3,N,3,6
106469,, ,M,Graduate,Management,1990,BC,240,2008,1990,46,12,N,0,10
106470,President,E,M,Graduate,Medicine -- POT,1994,NB,1050,2003,2003,536,8,N,1,2
106471,,E,F,Graduate,Science -- General,1966,BC,2365,1993,1967,591,1,N,1,18
106472,,E,M,Graduate,Science -- MSE,1999,ON,0,,,,15,N,2,12
106473,, ,F,Graduate,Science -- General,1978,MB,0,,,,6,N,0,9
106474,,E,F,Graduate,Science -- General,1965,ON,18,1962,1962,16,7,N,3,23
106475,, ,M,Graduate,Agr&Env -- Dietetics,1987,BC,96522,2010,1998,12548,12,N,3,19
106476,,E,M,Graduate,Management,1992,ON,0,,,,4,N,0,14
106477,,E,M,Graduate,Management,2007,ON,0,,,,4,N,1,14
106478,, ,F,Graduate,Management,1978,AB,65,1999,1992,58,9,N,2,3
106479,, ,F,Graduate,Science -- General,1968,NL,500,1973,1972,485,6,N,2,13
106480,, ,M,Graduate,Agr&Env -- General,1991,QC,0,,,,0,N,0,8
106481,,E,F,"Graduate, Former Faculty/Staff",Continuing Education,2012,NB,0,,,,10,N,0,1
106482,, ,M,Graduate,Science -- General,1980,ON,0,,,,10,N,3,12
106483,,E,F,Graduate,Engineer -- General,1994,SK,115,2010,2005,79,3,N,0,13
106484,,E,M,Graduate,Continuing Education,2008,QC,0,,,,11,N,1,3
106485,, ,M,Graduate,Arts -- General,1995,BC,0,,,,0,N,1,11
106486,,E,M,"Graduate, Past Parent",Arts -- General,2006,QC,0,,,,0,N,2,18
106487,,F,M,Graduate,Arts -- General,1967,ON,180,1997,1997,25,3,N,0,4
106488,,E,F,"Graduate, Faculty/Staff",Science -- General,2004,ON,100,2004,2004,83,1,N,3,19
106489,,F,M,Graduate,Engineer -- General,1999,BC,160,2008,1998,128,14,N,3,12
106490,,E,F,Graduate,Arts -- General,1984,QC,150,2014,2007,101,11,N,0,21
106491,,E,F,Graduate,Science -- General,2009,BC,0,,,,0,N,1,0
106492,,E,M,Graduate,Dentistry,1994,QC,520,1999,1994,385,15,N,2,1
106493,,E,M,Graduate,Arts -- General,2007,NB,0,,,,2,N,2,22
106494,, ,F,Graduate,Science -- General,2005,BC,0,,,,15,N,0,16
106495,,E,F,Graduate,Education -- General,1999,ON,0,,,,15,N,0,17
106496,,E,F,Graduate,Music,2007,QC,0,,,,9,N,3,22
106497,,E,M,Graduate,Engineer -- General,1974,AB,2345,1988,1981,2228,1,N,0,19
106498,,E,F,Graduate,Arts -- General,2004,ON,0,,,,11,N,1,8
106499,,E,M,Graduate,Continuing Education,1996,QC,0,,,,8,N,1,21
106500,, ,F,Graduate,Continuing Education,1987,ON,0,,,,2,N,2,7
106501,,E,F,Graduate,Music,2005,AB,0,,,,10,N,0,6
106502,,E,M,Graduate,Arts -- General,1964,ON,0,,,,1,N,3,4
106503,,E,F,Graduate,Arts -- General,1991,QC,0,,,,9,Y,3,12
106504,, ,M,Graduate,Arts -- General,1999,MB,0,,,,3,N,0,14
106505,,E,M,Graduate,Arts -- General,2000,BC,0,,,,6,N,1,21
106506,,E,F,Graduate,Arts -- General,2012,BC,0,,,,4,Y,2,2
106507,,E,M,Graduate,Science -- MSE,2011,ON,0,,,,15,N,2,3
106508,,E,F,Graduate,Arts -- General,1992,QC,0,,,,8,N,0,14
106509,"Chairman, CEO",E,F,Graduate,Agr&Env -- General,1942,QC,255,1964,1946,122,8,N,0,21
106510,,E,M,Graduate,Arts -- General,2011,NB,0,,,,8,N,3,10
106511,,E,F,Graduate,Arts -- General,2015,ON,0,,,,1,N,0,21
106512,,E,F,Graduate,Arts -- General,2003,QC,0,,,,9,N,1,18
106513,,F,F,Graduate,Medicine -- General,2002,NS,20,2009,2006,18,5,N,1,7
106514,,F,M,Graduate,Continuing Education,1996,ON,0,,,,2,N,2,3
106515,,E,F,Graduate,Science -- General,1999,NB,0,,,,10,N,0,11
106516,,E,M,Graduate,Arts -- General,1985,QC,0,,,,13,N,3,6
106517,,E,F,Graduate,Arts -- General,2012,BC,0,,,,14,N,3,13
106518,, ,M,Graduate,Engineer -- General,2006,ON,20,2015,2013,8,10,Y,0,14
106519,,E,M,"Graduate, Past Student",Management,1983,ON,0,,,,1,N,1,13
106520,,E,F,Graduate,Science -- General,1991,BC,10,2013,1997,5,6,N,2,0
106521,,E,F,Graduate,Management,2002,BC,0,,,,14,N,2,16
106522,,E,M,Graduate,Religious Studies,1981,BC,0,,,,12,N,0,12
106523,,E,F,Graduate,Arts -- General,1994,ON,0,,,,13,N,0,3
106524,,F,M,Graduate,Arts -- General,1991,QC,0,,,,9,N,3,19
106525,,F,M,Graduate,Arts -- General,2009,NS,0,,,,8,Y,0,0
106526,,E,F,Graduate,Management,1981,BC,25,1980,1980,6,3,N,1,3
106527,,E,M,Graduate,Continuing Education,1990,QC,0,,,,6,N,1,10
106528,,E,M,Graduate,Arts -- General,1982,QC,0,,,,4,N,2,4
106529,, ,M,Graduate,Arts -- General,2005,ON,0,,,,15,Y,0,5
106530,,F,F,Graduate,Arts -- General,1964,QC,0,,,,7,N,3,6
106531,,F,F,Graduate,Management,2005,ON,0,,,,13,N,3,9
106532,,E,F,Graduate,Arts -- General,1948,QC,0,,,,2,N,0,0
106533,,F,F,Graduate,Agr&Env -- General,1970,QC,0,,,,7,N,1,4
106534,,F,F,Graduate,Science -- General,2014,QC,0,,,,5,N,2,7
106535,,F,F,Graduate,Management,1989,ON,645,2001,1997,103,0,N,2,14
106536,,E,M,"Graduate, Past Student",Medicine -- Com Sci,2012,BC,0,,,,9,N,0,16
106537,,F,M,Graduate,Management,2001,BC,700,2007,2002,658,12,Y,0,14
106538,,F,F,Graduate,Medicine -- General,2005,QC,100,2011,2010,75,6,N,3,15
106539,,E,M,Graduate,Management,2012,ON,0,,,,4,N,0,23
106540,, ,M,Graduate,Arts -- General,1996,ON,0,,,,8,N,1,12
106541,,E,F,Graduate,Science -- General,2005,QC,0,,,,12,N,1,17
106542,,E,M,Graduate,Agr&Env -- Dietetics,1969,ON,5045,1977,1968,4692,0,N,2,14
106543,,E,F,Graduate,Arts -- General,2007,ON,0,,,,11,N,0,21
106544,,E,F,Graduate,Arts -- General,2000,BC,0,,,,13,N,3,13
106545,,E,F,Graduate,Science -- General,2007,BC,0,,,,14,N,3,20
106546,, ,F,Graduate,Arts -- General,2005,AB,0,,,,12,N,0,13
106547,,E,M,Graduate,Arts -- General,2009,NS,20,2011,2010,8,6,N,1,1
106548,,E,F,"Graduate, Current Parent",Education -- General,1980,ON,6743,1979,1979,3507,1,N,2,13
106549,,E,M,Graduate,Management,1981,QC,0,,,,10,N,2,1
106550,,E,M,Graduate,Continuing Education,1998,QC,0,,,,11,N,0,7
106551,,E,F,Graduate,Science -- General,1968,ON,50,1986,1979,49,1,N,0,18
106552,President,E,M,Graduate,Arts -- General,2008,ON,0,,,,0,N,3,6
106553,,F,F,Graduate,Arts -- General,2001,ON,0,,,,15,Y,0,9
106554,,F,M,Graduate,Arts -- General,2006,ON,0,,,,11,N,1,21
106555,, ,F,Graduate,Agr&Env -- General,1960,ON,802,1967,1960,313,12,N,1,6
106556,,E,M,Graduate,Arts -- General,2008,QC,0,,,,0,N,2,2
106557,President,E,M,Graduate,Arts -- General,2000,ON,10,2000,2000,3,14,N,0,23
106558,, ,F,Graduate,Arts -- General,2012,QC,0,,,,13,N,3,22
106559,,E,M,Graduate,Arts -- General,2002,BC,0,,,,12,N,3,10
106560,, ,F,Graduate,Science -- General,1986,ON,0,,,,8,N,0,13
106561,, ,F,Graduate,Law,1989,AB,100,1993,1990,51,7,N,1,23
106562,,E,M,Graduate,Science -- General,1996,ON,155,2004,2002,48,12,N,2,5
106563,, ,F,Graduate,Arts -- General,1993,ON,0,,,,1,N,2,19
106564,,E,F,Graduate,Arts -- Social Work,1956,ON,1896,1983,1964,796,3,N,0,17
106565,,E,F,Graduate,Science -- General,1962,ON,845,1968,1968,372,4,N,0,3
106566,, ,M,Graduate,Arts -- General,2005,QC,0,,,,12,N,3,7
106567,,E,F,Graduate,Arts -- General,1995,QC,0,,,,10,N,0,5
106568,, ,M,Graduate,Management,1978,ON,0,,,,10,N,1,6
106569,,E,M,Graduate,Arts -- General,2011,QC,0,,,,12,N,1,2
106570,President,E,F,Graduate,Engineer -- General,2009,BC,0,,,,14,N,2,13
106571,President,E,F,Graduate,Management,1981,BC,0,,,,10,N,0,21
106572,,E,F,Graduate,Engineer -- General,2012,ON,0,,,,2,N,3,14
106573,, ,F,Graduate,Management,1996,BC,0,,,,5,N,3,8
106574,,E,F,Graduate,Arts -- General,1972,NB,0,,,,14,N,0,2
106575,,F,F,Graduate,Science -- General,1983,ON,300,2012,2010,276,12,Y,1,20
106576,,F,F,Graduate,Medicine -- General,1956,MB,1192,1954,1954,918,5,N,2,4
106577,,F,F,Graduate,Education -- General,2007,BC,0,,,,12,N,2,2
106578,, ,F,Graduate,Law,1995,BC,0,,,,5,N,0,6
106579,,F,F,Graduate,Arts -- General,1990,NB,350,2010,1993,228,3,N,0,3
106580,,F,M,Graduate,Law,2002,ON,300,2005,2004,156,9,N,3,20
106581,,E,M,Graduate,Arts -- General,1983,NL,0,,,,11,N,0,12
106582,,E,M,Graduate,Arts -- General,2000,NB,0,,,,5,N,1,10
106583,,E,M,Graduate,Law,1975,ON,50,1973,1973,12,7,N,1,14
106584,,E,F,"Graduate, Faculty/Staff",Engineer -- General,2004,QC,0,,,,11,N,2,7
106585,,E,F,Graduate,Arts -- General,2009,QC,0,,,,11,N,0,14
106586,,E,F,Graduate,Engineer -- General,1954,ON,506,1965,1953,228,8,N,3,23
106587,, ,F,Graduate,Arts -- General,1997,AB,500,2013,2013,230,15,N,3,1
106588,,E,M,Graduate,Arts -- General,2005,NB,0,,,,0,N,0,0
106589,,E,F,Graduate,Medicine -- General,1993,QC,150,2014,2012,66,4,N,1,13
106590,, ,F,Graduate,Education -- General,1975,BC,0,,,,12,N,2,23
106591,,E,F,Graduate,Engineer -- General,1977,BC,5415,1977,1976,1679,4,N,2,20
106592,,F,M,Graduate,Management,2004,AB,80,2001,2001,39,4,N,0,8
